sku,nom,categorie,price,desc,currency,source,name_length,name_word_count,brand_detected,has_quantity,price_log,price_bucket,category_freq,is_premium_category
MYM-0008,saint eloi haricots verts extra fins bio saint eloi 180g,bio,45.55,saint eloi haricots verts extra fins bio saint eloi 180g,MAD,MyMarket,56,10,1,1,3.840527003723076,medium,0.05004812319538017,1
MYM-0009,00 blue diamond boisson almond breeze original bio et sans gluten blue diamond 1l,bio,47.0,00 blue diamond boisson almond breeze original bio et sans gluten blue diamond 1l,MAD,MyMarket,81,14,1,1,3.871201010907891,medium,0.05004812319538017,1
MYM-0010,65 bjorg citron cuisine bio bjorg 200 ml,bio,23.95,65 bjorg citron cuisine bio bjorg 200 ml,MAD,MyMarket,40,8,1,1,3.2168738221975275,medium,0.05004812319538017,1
MYM-0011,diet radisson boisson de riz aux noisettes bio et sans gluten diet radisson 1l,bio,45.5,diet radisson boisson de riz aux noisettes bio et sans gluten diet radisson 1l,MAD,MyMarket,78,14,1,1,3.8394523125933104,medium,0.05004812319538017,1
MYM-0012,noisettes bio sojasun 1l,bio,43.65,noisettes bio sojasun 1l,MAD,MyMarket,24,4,1,1,3.798854307322508,medium,0.05004812319538017,1
MYM-0013,65 sojasun boisson au riz et à la noix de coco bio sojasun 1l,bio,43.65,65 sojasun boisson au riz et à la noix de coco bio sojasun 1l,MAD,MyMarket,61,14,1,1,3.798854307322508,medium,0.05004812319538017,1
MYM-0001,90 les domaines eau de rose bio les domaines 250 ml,bio,34.45,90 les domaines eau de rose bio les domaines 250 ml,MAD,MyMarket,51,11,1,1,3.5681232529781366,medium,0.05004812319538017,1
MYM-0002,natur green boisson de riz bio nature natur green 1l,bio,39.0,natur green boisson de riz bio nature natur green 1l,MAD,MyMarket,52,10,1,1,3.6888794541139363,medium,0.05004812319538017,1
MYM-0003,natur green boisson de riz bio au calcium natur green 1l,bio,39.0,natur green boisson de riz bio au calcium natur green 1l,MAD,MyMarket,56,11,1,1,3.6888794541139363,medium,0.05004812319538017,1
MYM-0004,natur green boisson de soja bio au calcium natur green 1l,bio,39.0,natur green boisson de soja bio au calcium natur green 1l,MAD,MyMarket,57,11,1,1,3.6888794541139363,medium,0.05004812319538017,1
MYM-0005,yogi tea 17 sachets infusions bien-être intestinal yogi tea 34 g,bio,59.4,yogi tea 17 sachets infusions bien-être intestinal yogi tea 34 g,MAD,MyMarket,64,11,0,1,4.100989104940769,medium,0.05004812319538017,1
MYM-0006,50 bonduelle champignons de paris émincés bio bonduelle 230 g,bio,49.5,50 bonduelle champignons de paris émincés bio bonduelle 230 g,MAD,MyMarket,61,10,1,1,3.9219733362813143,medium,0.05004812319538017,1
MYM-0007,72 mono filets de thon blanc germon bocal en verre mono gourmet 125g,bio,110.34,72 mono filets de thon blanc germon bocal en verre mono gourmet 125g,MAD,MyMarket,68,13,0,1,4.7125885827553615,high,0.05004812319538017,1
MYM-0008,ma pointe de brie bio engagé président 200 g,bio,64.35,ma pointe de brie bio engagé président 200 g,MAD,MyMarket,44,9,1,1,4.179757440070231,high,0.05004812319538017,1
MYM-0009,président camembert bio engagé président 250 g,bio,68.95,président camembert bio engagé président 250 g,MAD,MyMarket,46,7,1,1,4.24778070111149,high,0.05004812319538017,1
MYM-0010,clipper infusion marchand de sable bio clipper 20 sachets,bio,62.4,clipper infusion marchand de sable bio clipper 20 sachets,MAD,MyMarket,57,9,1,0,4.14946386144318,high,0.05004812319538017,1
MYM-0011,clipper infusion divine digestion bio clipper 20 sachets,bio,62.4,clipper infusion divine digestion bio clipper 20 sachets,MAD,MyMarket,56,8,1,0,4.14946386144318,high,0.05004812319538017,1
MYM-0001,clipper infusion lovely thé blanc citron bio clipper 20 sachets,bio,74.5,clipper infusion lovely thé blanc citron bio clipper 20 sachets,MAD,MyMarket,63,10,1,0,4.324132656254979,high,0.05004812319538017,1
MYM-0002,74 alpro boisson à base d'avoine avec calcium et vitamines ajoutés alpro 1l,bio,33.95,74 alpro boisson à base d'avoine avec calcium et vitamines ajoutés alpro 1l,MAD,MyMarket,75,13,0,1,3.5539184686798193,medium,0.05004812319538017,1
MYM-0003,sans gluten sottolestelle 1kg,bio,114.0,sans gluten sottolestelle 1kg,MAD,MyMarket,29,4,0,1,4.74493212836325,high,0.05004812319538017,1
MYM-0004,00 aboghlo miel de caroubier aboghlo 500g,bio,135.49,00 aboghlo miel de caroubier aboghlo 500g,MAD,MyMarket,41,7,0,1,4.916251351868104,high,0.05004812319538017,1
MYM-0005,aboghlo miel d’euphorbe aboghlo 500g,bio,177.29,aboghlo miel d’euphorbe aboghlo 500g,MAD,MyMarket,36,5,0,1,5.1834114380466785,high,0.05004812319538017,1
MYM-0006,aboghlo miel suavage aboghlo 500g,bio,197.69,aboghlo miel suavage aboghlo 500g,MAD,MyMarket,33,5,0,1,5.291745821164998,high,0.05004812319538017,1
MYM-0007,32 aboghlo miel mille fleurs aboghlo 250g,bio,61.2,32 aboghlo miel mille fleurs aboghlo 250g,MAD,MyMarket,41,7,0,1,4.130354999745133,high,0.05004812319538017,1
MYM-0008,aboghlo miel de thym aboghlo 250g,bio,135.54,aboghlo miel de thym aboghlo 250g,MAD,MyMarket,33,6,0,1,4.916617611990135,high,0.05004812319538017,1
MYM-0009,barilla penne rigate bio barilla 500 g,bio,63.54,barilla penne rigate bio barilla 500 g,MAD,MyMarket,38,7,1,1,4.167285186623816,high,0.05004812319538017,1
MYM-0001,les domaines eau de fleur d'oranger bio les domaines 25 cl,bio,23.33,les domaines eau de fleur d'oranger bio les domaines 25 cl,MAD,MyMarket,58,11,1,1,3.1917101567954314,medium,0.05004812319538017,1
MYM-0002,primeur pousses de betterave barquette 100g,bio,16.9,primeur pousses de betterave barquette 100g,MAD,MyMarket,43,6,0,1,2.884800712846709,low,0.05004812319538017,1
MYM-0003,primeur jeunes pousses d'épinard barquette 100g,bio,50.0,primeur jeunes pousses d'épinard barquette 100g,MAD,MyMarket,47,6,0,1,3.9318256327243257,medium,0.05004812319538017,1
MYM-0004,00 bjorg biscuits fourrés framboises bio bjorg 175g,bio,63.64,00 bjorg biscuits fourrés framboises bio bjorg 175g,MAD,MyMarket,51,8,1,1,4.16883341421284,high,0.05004812319538017,1
MYM-0005,sunny bio sirop d'agave bio sunny 500g,bio,150.0,sunny bio sirop d'agave bio sunny 500g,MAD,MyMarket,38,7,1,1,5.017279836814924,high,0.05004812319538017,1
MYM-0006,1881 stefano berruto fusilli bio stefano berruto 500g,bio,35.94,1881 stefano berruto fusilli bio stefano berruto 500g,MAD,MyMarket,53,8,1,1,3.609294974771094,medium,0.05004812319538017,1
MYM-0007,90 granoro spaghetti bio integrale granoro 500g,bio,26.4,90 granoro spaghetti bio integrale granoro 500g,MAD,MyMarket,47,7,1,1,3.3105430133940246,medium,0.05004812319538017,1
MYM-0008,44 ecomil lait amande barista sans sucre bio sans glutten ecomill 1l,bio,54.0,44 ecomil lait amande barista sans sucre bio sans glutten ecomill 1l,MAD,MyMarket,68,12,1,1,4.007333185232471,medium,0.05004812319538017,1
MYM-0009,20 bjorg soja cuisine fluide bio bjorg 25cl,bio,33.0,20 bjorg soja cuisine fluide bio bjorg 25cl,MAD,MyMarket,43,8,1,1,3.5263605246161616,medium,0.05004812319538017,1
MYM-0010,bjorg lait d'amande calcium bio bjorg 50cl,bio,45.0,bjorg lait d'amande calcium bio bjorg 50cl,MAD,MyMarket,42,7,1,1,3.828641396489095,medium,0.05004812319538017,1
MYM-0011,bjorg soja chocolat bio bjorg 1l,bio,71.94,bjorg soja chocolat bio bjorg 1l,MAD,MyMarket,32,6,1,1,4.289637185380534,high,0.05004812319538017,1
MYM-0012,bjorg lait d'amande intense bio bjorg 1l,bio,73.14,bjorg lait d'amande intense bio bjorg 1l,MAD,MyMarket,40,7,1,1,4.305955197722586,high,0.05004812319538017,1
MYM-0013,ecomil lait de coco sans sucre bio sans glutten ecomill 1l,bio,54.0,ecomil lait de coco sans sucre bio sans glutten ecomill 1l,MAD,MyMarket,58,11,1,1,4.007333185232471,medium,0.05004812319538017,1
MYM-0014,ecomil lait d'amande calcium bio sans sucre sans gluten ecomil 1l,bio,54.0,ecomil lait d'amande calcium bio sans sucre sans gluten ecomil 1l,MAD,MyMarket,65,11,1,1,4.007333185232471,medium,0.05004812319538017,1
MYM-0015,ecomil lait d'amandes nature bio sans sucre et sans gluten ecomil 1l,bio,54.0,ecomil lait d'amandes nature bio sans sucre et sans gluten ecomil 1l,MAD,MyMarket,68,12,1,1,4.007333185232471,medium,0.05004812319538017,1
MYM-0016,sunny bio sirop d'agave bio sunny 250g,bio,94.8,sunny bio sirop d'agave bio sunny 250g,MAD,MyMarket,38,7,1,1,4.562262684976814,high,0.05004812319538017,1
